artist_name,track_name,release_date,genre,lyrics
Frank Ocean,Pink + White,2016,soul,Yeah yeah um (Woo) Yeah yeah yeah [Verse 1] That's the way every day goes Every time we've no control If the sky is pink and white If the ground is black and yellow It's the same way you showed me Nod my head don't close my eyes Halfway on a slow move It's the same way you showed me If you could fly then you'd feel south Up north's getting cold soon The way it is we're on land Still I'm someone to hold true Keep you cool when it's still alive Won't let you down when it's all ruin [Chorus] Just the same way you showed me showed me You showed me love Glory from above Regard my dear It's all downhill from here You might also like[Verse 2] In the wake of a hurricane Dark skin of a summer shade Nosedive into flood lines Tall tower of milk crates It's the same way you showed me Cannonball off the porch side Older kids trying off the rooves Just the same way you showed me (You showed) If you could die and come back to life Up for air from the swimming pool You'd kneel down to the dry land Kiss the earth that birthed you Gave you tools just to stay alive And make it out when the sun is ruined [Chorus] That's the same way you showed me showed me You showed me love Glory from above Regard my dear It's all downhill from here [Outro: Frank Ocean & Beyoncé] Remember life remember how it was Climb trees Michael Jackson all ends here Say what up to Matthew to Shoob Say what up to Danny Say what up to life immortality Bending up my Nikes Running out of melpomene nicotine Stealing granny cigs (Take it easy) Gimme something sweet Bitch I might like immortality This is life life immortality154Embed
Marvin Gaye,Ain't No Mountain High Enough,1967,soul,Listen baby Ain't no mountain high Ain't no valley low Ain't no river wide enough baby If you need me call me No matter where you are No matter how far Don't worry baby Just call my name I'll be there in a hurry You don't have to worry 'Cause baby there [Chorus: Marvin Gaye & Tammi Terrell] Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you babe [Verse 2: Marvin Gaye Marvin Gaye & Tammi Terrell] Remember the day I set you free I told you you could always count on me darling From that day on I made a vow I'll be there when you want me someway somehow Oh baby there You might also like[Chorus: Marvin Gaye & Tammi Terrell] Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you babe [Bridge: Marvin Gaye Tammi Terrell & Both] Oh no darlin' No wind no rain Or winter's cold Can stop me baby (No no baby) 'Cause you are my goal If you're ever in trouble I'll be there on the double Just send for me oh baby ha [Verse 3: Tammi Terrell Marvin Gaye & Both] My love is alive (Woo) Way down in my heart Although we are miles apart If you ever need a helpin' hand I'll be there on the double Just as fast as I can Don't you know that there [Chorus: Marvin Gaye & Tammi Terrell Tammi Terrell] Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from gettin' to you baby Don't you know that there Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough Ain't no mountain high enough Ain't no valley low enough35Embed
Frank Ocean,Novacane,2011,soul,"I think I started something I got what I wanted Did-didn't I can't feel nothing superhuman Even when I'm fucking Viagra popping Every single record autotuning Zero emotion muted emotion Pitch corrected computed emotion uh-huh I blame it on the model broad with the Hollywood smile ow Stripper booty and a rack like wow Brain like Berkeley Met her at Coachella I went to see Jigga she went to see Z Trip perfect I took a seat on the ice cold lawn She handed me a ice blue bong whatever She said she wanna be a dentist really badly She's in school paying For tuition doing porn in the Valley At least you workin' But girl I can't feel my face What are we smoking anyway? She said ""Don't let the high go to waste"" But can you taste a little taste? [Chorus] Novacane baby baby Novacane baby I want you Fuck me good fuck me long fuck me numb Love me now when I'm gone love me none Love me none love me none Numb numb numb numb You might also like[Verse 2] Sink full of dishes pacin' in the kitchen Cocaine for breakfast yikes Bed full of women flip on a tripod Little red light on shootin' I'm feelin' like Stanley Kubrick This is some visionary shit Been tryna film pleasure with my eyes wide shut But it keeps on movin' I blame it on the model broad with the Hollywood smile Stripper booty with a rack like wow I'll never forget ya You put me on a feelin' I never had Never had never had (Never) And ever since I've been tryna get it back And pick it up and put it back Now I'm something like the chemist on campus But there's no drug around Quite like what I found in you you I still can't feel my face What am I smokin' anyway? (Ahh) She said ""Don't let the high go to waste"" (Ooh) But can you taste a little taste? [Chorus] Novacane baby baby (Ohh) Novacane baby I want you Fuck me good fuck me long fuck me numb Love me now when I'm gone love me none Love me none love me none Numb numb numb numb [Bridge] Novacane novacane novacane Novacane novacane (Ohh) Numb the pain numb the pain numb the pain Numb the pain numb the pain (Ohh ohh) Novacane novacane novacane Novacane novacane For the pain for the pain (Ohh ohh ohh) Novacane novacane (Ooh) [Outro] Pretty girls involved with me Making pretty love to me pretty Pity pity All the pretty girls involved with me Making pretty love to me pretty Pity pity I can't feel a thing I can't feel I can't feel a thing I can't feel a thing I can't feel feel feel feel her I can't feel feel her Novacane novacane novacane I can't feel feel her Novacane for the pain for the pain I can't can't feel her Feel her feel her ohh Novacane novacane-cane224Embed"
Frank Ocean,Lost,2012,soul,Double D big full breasts on my baby (Yo we going to Florida) Triple weight Couldn't weigh the love I've got for the girl And I just wanna know Why you ain't been going to work Boss ain't working you like this He can't take care of you like this [Chorus] Now you're lost lost in the heat of it all Girl you know you're lost lost in the thrill of it all Miami Amsterdam Tokyo Spain lost Los Angeles India lost on a train lost [Verse 2] Got on my buttercream silk shirt and it's Versace (There he goes one of God's own prototypes) Hand me my triple weight So I can weigh the work I got on your girl (Too weird to live too rare to die) No I don't really wish I don't wish the titties would show Nor have I ever have I ever let you get caught? Oh You might also like[Chorus] Lost lost in the heat of it all Girl you know you're lost lost in the thrill of it all Miami Amsterdam Tokyo Spain lost Los Angeles India lost on a train lost [Bridge] She's at a stove (Who) Can't believe I got her out here cooking dope (Cooking dope) I promise she'll be whipping meals up for a family of her own some day Nothing wrong (Nothing wrong) No nothing wrong (Ain't nothing wrong) with a lie (Ooh) Nothing wrong (Nothing wrong) With another short plane ride (Ain't nothing wrong) Through the sky (Up in the sky) You and I (Just you and I) [Chorus] Lost (Ooh) lost in the heat of it all Girl you know you're lost lost in the thrill of it all Miami Amsterdam Tokyo Spain lost Los Angeles India lost on a train lost [Outro] Love lost lost? Love love love lost lost? Love love love lost Love love love lost Faith is the substance- Manos arriba!- Then the other channel on the-128Embed
Frank Ocean,Thinkin Bout You,2012,soul,A tornado flew around my room before you came Excuse the mess it made it usually doesn't rain in Southern California much like Arizona My eyes don't shed tears but boy they pour when [Pre-Chorus] I'm thinkin' 'bout you ooh no no no I've been thinkin' bout you you know know know I've been thinkin' bout you do you think about me still? Do ya do ya? [Chorus] Or do you not think so far ahead? 'Cause I been thinkin' bout forever ooh Or do you not think so far ahead? 'Cause I been thinkin' bout forever ooh [Verse 2] No I don't like you I just thought you were cool enough to kick it Got a beach house I could sell you in Idaho Since you think I don't love you I just thought you were cute That's why I kissed you Got a fighter jet I don't get to fly it though I'm lying down [Pre-Chorus] Thinkin' 'bout you ooh no no no I've been thinkin' bout you you know know know I've been thinkin' bout you do you think about me still? Do ya do ya? You might also like[Chorus] Or do you not think so far ahead? 'Cause I been thinkin' bout forever ooh Or do you not think so far ahead? 'Cause I been thinkin' bout forever ooh [Bridge] Yes of course I remember how could I forget (How could I forget?) how you feel? (How you feel) You know you were my first time a new feel It won't ever get old not in my soul not in my spirit keep it alive We'll go down this road 'til it turns from color to black and white [Chorus] Or do you not think so far ahead? 'Cause I been thinkin' bout forever ooh Or do you not think so far ahead? 'Cause I been thinkin' bout forever ooh415Embed
Frank Ocean,Ivy,2016,soul,I thought that I was dreamin' when you said you love me The start of nothin' I had no chance to prepare I couldn't see you comin' The start of nothin' Ooh I could hate you now It's quite alright to hate me now When we both know that deep down The feeling still deep down is good [Verse 1] If I could see through walls I could see you're faking If you could see my thoughts you would see our faces Safe in my rental like an armored truck back then We didn't give a fuck back then I ain't a kid no more We'll never be those kids again We'd drive to Syd's Had the X6 back then back then No matter what I did my waves wouldn't dip back then Everything sucked back then we were friends [Chorus] I thought that I was dreamin' when you said you love me The start of nothin' I had no chance to prepare I couldn't see you comin' The start of nothin' Ooh I could hate you now It's quite alright to hate me now But we both know that deep down The feeling still deep down is good You might also like[Verse 2] In the halls of your hotel Arm around my shoulder so I could tell How much I meant to you meant it sincere back then We had time to kill back then You ain't a kid no more we'll never be those kids again It's not the same ivory's illegal don't you remember? [Bridge] I broke your heart last week You'll probably feel better by the weekend Still remember had you going crazy Screamin' my name the feeling deep down is good [Chorus] I thought that I was dreamin' when you said you love me The start of nothin' Had no chance to prepare couldn't see you comin' And we started from nothin' Ooh I could hate you now It's alright to hate me now We both know that deep down The feeling still deep down is good [Outro] All the things I didn't mean to say I didn't mean to do There were things you didn't need to say did you mean to? Mean to? I've been dreamin' of you dreamin' of you I've been dreamin' of you dreamin' of you I've been dreamin' dreamin'208Embed
The Temptations,My Girl,1965,soul,[Verse 1] I've got sunshine on a cloudy day When it's cold outside I've got the month of May I guess you'd say What can make me feel this way? [Chorus] My girl my girl my girl Talkin' 'bout my girl my girl [Verse 2] I've got so much honey the bees envy me I've got a sweeter song than the birds in the trees Well I guess you'd say What can make me feel this way? [Chorus] My girl my girl my girl Talkin' 'bout my girl my girl [Bridge] Ooh ooh Hey hey hey Ooh ooh Hey hey hey Ooh ooh yeah You might also like[Verse 3] I don't need no money fortune or fame I've got all the riches baby one man can claim Well I guess you'd say What can make me feel this way? [Chorus] My girl my girl my girl Talkin' 'bout my girl my girl (Talkin' 'bout my girl) [Outro] I've got sunshine on a cloudy day (Woah woah) With my girl I've even got the month of May With my girl Talkin' 'bout talkin 'bout talkin 'bout my girl Ooh my girl That's all I can talk about is my girl Why don't you believe she's all my girl33Embed
Adele,Set Fire to the Rain,2011,soul,[Verse 1] I let it fall my heart And as it fell you rose to claim it It was dark and I was over Until you kissed my lips and you saved me My hands they were strong But my knees were far too weak To stand in your arms Without falling to your feet [Pre-Chorus] But there's a side to you That I never knew never knew All the things you'd say They were never true never true And the games you'd play You would always win always win [Chorus] But I set fire to the rain Watched it pour as I touched your face Well it burned while I cried 'Cause I heard it screamin' out your name Your name You might also like[Verse 2] When I lay with you I could stay there close my eyes Feel you here forever You and me together nothing is better [Pre-Chorus] 'Cause there's a side to you That I never knew never knew All the things you'd say They were never true never true And the games you'd play You would always win always win [Chorus] But I set fire to the rain Watched it pour as I touched your face Well it burned while I cried 'Cause I heard it screamin' out your name Your name I set fire to the rain And I threw us into the flames When we fell somethin' died 'Cause I knew that that was the last time The last time [Bridge] Sometimes I wake up by the door That heart you caught must be waitin' for you Even now when we're already over I can't help myself from lookin' for you [Chorus] I set fire to the rain Watched it pour as I touched your face Well it burned while I cried 'Cause I heard it screamin' out your name Your name I set fire to the rain And I threw us into the flames When we fell somethin' died 'Cause I knew that that was the last time The last time [Outro] Oh Oh no Let it burn Oh Let it burn Let it burn106Embed
Bill Withers,Ain't No Sunshine,1971,soul,Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long Anytime she goes away [Verse 2] Wonder this time where she's gone Wonder if she's gonna stay Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away [Bridge] And I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know Hey I ought to leave the young thing alone But ain't no sunshine when she's gone [Verse 3] Ain't no sunshine when she's gone Only darkness everyday Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away You might also like[Outro] Anytime she goes away Anytime she goes away Anytime she goes away48Embed
Adele,Someone Like You,2011,soul,I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend why are you so shy? Ain't like you to hold back or hide from the light [Pre-Chorus] I hate to turn up out of the blue uninvited But I couldn't stay away I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me it isn't over [Chorus] Never mind I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead Sometimes it lasts in love but sometimes it hurts instead [Verse 2] You know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory days You might also like[Pre-Chorus] I hate to turn up out of the blue uninvited But I couldn't stay away I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me it isn't over [Chorus] Never mind I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead [Bridge] Nothing compares no worries or cares Regrets and mistakes they're memories made Who would have known how bittersweet this would taste? [Breakdown] Never mind I'll find someone like you I wish nothing but the best for you Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead [Chorus] Never mind I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love but sometimes it hurts instead Sometimes it lasts in love but sometimes it hurts instead221Embed
